periodo,MIA_nucleo,sub_Ejecutivo,sub_Legislativo,sub_Judicial,sub_Prensa,sub_Banco Central,ejes_cubiertos
2024-08,48.98628531016664,42.112437074584335,59.662695415695424,43.63083000060048,68.97240740740742,35.65325328947368,5
2024-09,49.79295412823774,42.54032980049726,58.90576379176379,42.8811157148862,71.3042037037037,39.852324874686715,5
2024-10,50.64103009158455,43.20446200942209,58.207640248640246,42.13140142917191,73.636,43.776554354636595,5
2024-11,51.53179481945689,43.853371005158564,58.31046076146076,41.38168714345763,75.96779629629631,46.94789661654134,5
2024-12,51.86877417292707,43.675221339954696,56.68071095571096,40.63197285774335,78.2995925925926,50.39154746240602,5
2025-01,51.923641385772044,43.57089165816021,55.141920745920736,39.6910349486579,79.05534567901236,53.516539317042614,5
2025-02,52.05509694740101,43.67730749491312,53.64195881895881,38.75009703957245,79.81109876543209,56.67885808270676,5
2025-03,52.311888578424316,44.04013399051096,53.04700932400932,37.809159130487004,80.56685185185185,58.95724608395989,5
2025-04,52.870559323674925,44.6188977153421,53.049203574203574,37.61793550711584,81.32260493827161,61.02047634711779,5
2025-05,53.270267714274254,45.78460593582356,52.50104195804195,37.42671188374467,82.07835802469134,61.58387640977444,5
2025-06,53.82130401282521,46.6720224088368,53.16532944832944,37.23548826037351,82.83411111111113,62.09611387844611,5
2025-07,54.524473453694256,48.022565957880346,53.75210178710178,37.04426463700234,83.58986419753089,62.799671679198,5
2025-08,55.48709888739625,49.569304972018415,55.31311888111888,36.85304101363118,84.34561728395063,63.54155216165414,5
2025-09,55.79092600721882,49.73715322071959,55.66726262626263,36.66181739026001,85.10137037037039,64.25838988095236,5
2025-10,55.29518605635589,47.38680743057594,55.935426573426575,36.47059376688885,85.85712345679013,64.79580827067669,5
2025-11,54.73156440345193,45.03888462336912,55.87068686868687,36.27937014351769,86.61287654320988,65.3197075501253,5
2025-12,54.2456001860079,42.712133764781186,56.42036363636363,36.088146520146516,87.36862962962962,65.49975720551379,5
2026-01,53.85245437546309,40.911905865501815,56.9340808080808,36.088146520146516,87.37342592592594,65.78948840852131,5
2026-02,53.521421425980655,39.281375346759205,57.48819191919191,36.088146520146516,87.37822222222222,66.10005200501253,5
2026-03,52.777146162686336,37.24677445870231,56.54288369284654,36.088146520146516,87.38301851851853,66.46303336466165,5
2026-04,51.88540768148305,35.47301638100182,54.53016574412859,36.088146520146516,87.38781481481482,66.74445394736841,5
2026-05,51.03922883119826,33.441634665113455,53.232306994690894,36.088146520146516,87.39261111111111,66.8917070802005,5
2026-06,50.24227428324609,32.64261232111932,51.26472113610503,35.293289377289376,87.39740740740741,66.85518248746867,5
2026-07,49.50553581715635,31.779957153048183,49.70274340039045,34.49843223443223,87.4022037037037,66.80655325814536,5
2026-08,48.871247610051284,30.64405322963961,48.03511791476497,34.76840048840049,87.407,66.7085197368421,5
